,smiles,value,cano_smiles
18,C(CP(=O)(CCC(=O)O)O)C(C(=O)O)N,-3.851258348719076,NC(CCP(=O)(O)CCC(=O)O)C(=O)O
19,C1CC2C3C(C1O2)C(=O)N(C3=O)C4=C(C=C(C=C4)NC(=O)C5=CC=CC=N5)Cl,-3.3598354823398884,O=C(Nc1ccc(N2C(=O)C3C4CCC(O4)C3C2=O)c(Cl)c1)c1ccccn1
20,C1=C(C=C(C(=C1F)OCC(=O)O)F)C(O)P(=O)(CCC(C(=O)O)N)O,-2.5185139398778875,NC(CCP(=O)(O)C(O)c1cc(F)c(OCC(=O)O)c(F)c1)C(=O)O
21,C(CP(=O)(O)O)C(C(=O)O)N,-2.3010299956639813,NC(CCP(=O)(O)O)C(=O)O
22,C1=CC(=C(C=C1C(O)P(=O)(CCC(C(=O)O)N)O)C(F)(F)F)OCC(=O)O,-2.9542425094393248,NC(CCP(=O)(O)C(O)c1ccc(OCC(=O)O)c(C(F)(F)F)c1)C(=O)O
23,COC1=C(C(=CC(=C1)C(O)P(=O)(CCC(C(=O)O)N)O)F)OCC(=O)O,-1.9030899869919435,COc1cc(C(O)P(=O)(O)CCC(N)C(=O)O)cc(F)c1OCC(=O)O
24,C1=CC(=CN=C1)C(=O)NN=CC2=CC=C(S2)[N+](=O)[O-],-2.934498451243568,O=C(NN=Cc1ccc([N+](=O)[O-])s1)c1cccnc1
25,C(CP(=O)(CC(CC(=O)O)C(=O)O)O)C(C(=O)O)N,-3.544068044350276,NC(CCP(=O)(O)CC(CC(=O)O)C(=O)O)C(=O)O
26,C1=CC(=CC=C1C(O)P(=O)(CCC(C(=O)O)N)O)SCC(=O)O,-2.322219294733919,NC(CCP(=O)(O)C(O)c1ccc(SCC(=O)O)cc1)C(=O)O
27,C1=CC(=C(C=C1NC(=O)C2=CSC=C2)Cl)Cl,-3.965201701025912,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccsc1
29,C1=CC=NC(=C1)C(=O)NC2=CC(=CC=C2)Cl,-2.469822015978163,O=C(Nc1cccc(Cl)c1)c1ccccn1
30,CC1(CC(=O)N(C1=O)C2=C(C=C(C=C2)NC(=O)C3=CC=CC=N3)Cl)C4=CC=CC=C4,-2.72916478969277,CC1(c2ccccc2)CC(=O)N(c2ccc(NC(=O)c3ccccn3)cc2Cl)C1=O
31,C1=CC=NC(=C1)C(=O)NC2=CC(=C(C=C2)NC(=O)C3=C(C=C(C=C3)F)F)Cl,-3.322219294733919,O=C(Nc1ccc(NC(=O)c2ccc(F)cc2F)c(Cl)c1)c1ccccn1
32,COC1=C(C(=CC(=C1)C(O)P(=O)(CCC(C(=O)O)N)O)Cl)OCC(=O)O,-2.113943352306837,COc1cc(C(O)P(=O)(O)CCC(N)C(=O)O)cc(Cl)c1OCC(=O)O
33,C1CCC2(CC1)CC(=O)N(C2=O)C3=C(C=C(C=C3)NC(=O)C4=CC=CC=N4)Cl,-2.598790506763115,O=C(Nc1ccc(N2C(=O)CC3(CCCCC3)C2=O)c(Cl)c1)c1ccccn1
34,C1C(C1(C(=O)O)N)CP(=O)(O)O,-1.4771212547196624,NC1(C(=O)O)CC1CP(=O)(O)O
35,CCOC1=C(C=CC(=C1)C(O)P(=O)(CCC(C(=O)O)N)O)OCC(=O)O,-3.222716471147584,CCOc1cc(C(O)P(=O)(O)CCC(N)C(=O)O)ccc1OCC(=O)O
36,C1=CC(=C(C=C1C(O)P(=O)(CCC(C(=O)O)N)O)[N+](=O)[O-])OCC(=O)O,-2.4149733479708178,NC(CCP(=O)(O)C(O)c1ccc(OCC(=O)O)c([N+](=O)[O-])c1)C(=O)O
37,COC1=C(C=CC(=C1)NC(=O)C2=CSC=N2)NC(=O)C3=CC=CC=C3Cl,-2.876794976200701,COc1cc(NC(=O)c2cscn2)ccc1NC(=O)c1ccccc1Cl
38,CC1=CC=CC=C1C(=O)NC2=C(C=C(C=C2)NC(=O)C3=CC=CC=N3)Cl,-2.9614210940664485,Cc1ccccc1C(=O)Nc1ccc(NC(=O)c2ccccn2)cc1Cl
39,CC1=CC(=CC(=C1OCC(=O)O)C)C(O)P(=O)(CCC(C(=O)O)N)O,-2.724275869600789,Cc1cc(C(O)P(=O)(O)CCC(N)C(=O)O)cc(C)c1OCC(=O)O
40,COC1=C(C(=CC(=C1)CP(=O)(CCC(C(=O)O)N)O)F)OCC(=O)O,-3.4899584794248346,COc1cc(CP(=O)(O)CCC(N)C(=O)O)cc(F)c1OCC(=O)O
41,C1=CC=NC(=C1)C(=O)NC2=CC3=C(C=C2)N(C=C3)C(=O)C4=C(C=C(C=C4)F)Cl,-3.220108088040055,O=C(Nc1ccc2c(ccn2C(=O)c2ccc(F)cc2Cl)c1)c1ccccn1
42,C1=CC=C(C=C1)C=CC2=NC(=NC=C2)N,-3.0,Nc1nccc(C=Cc2ccccc2)n1
43,CC(C)C(=O)NC1=C(C=C(C=C1)NC(=O)C2=CC=CC=N2)Cl,-3.6830470382388496,CC(C)C(=O)Nc1ccc(NC(=O)c2ccccn2)cc1Cl
44,CN1C2=CC=CC=C2C=C1C(=O)NC3=C(C=C(C=C3)NC(=O)C4=CC=CC=N4)Cl,-3.4727564493172123,Cn1c(C(=O)Nc2ccc(NC(=O)c3ccccn3)cc2Cl)cc2ccccc21
